field1,entry_id
"1.8913044			",196
"2.148148			",197
"1.4			",198
"2.7142856			",199
"2.5			",200
"4			",201
"3.75			",202
"1			",203
"2.5			",204
"4			",205
"3.1363635			",206
3.4,207
3,208
0.5,209
0.6,210
1.7,211
0.6,212
2.3,213
3.4,214
1.3,215
2.7,216
2.2,217
1.1,218
0.8,219
0,220
1.3,221
1.9,222
0,223
1.8,224
1.3,225
3.4,226
2.8,227
3.7,228
1.1,229
3.5,230
2.9,231
2.5,232
3.9,233
3.2,234
1.5,235
1,236
3.3,237
4,238
0.1,239
2.6,240
3.6,241
0.5,242
2.9,243
1.3,244
0.2,245
3.6,246
2.4,247
2.5,248
1,249
2.8,250
0.7,251
2.8,252
2.4,253
0.1,254
2.3,255
3.5,256
2.5,257
0,258
0.4,259
1.3,260
1.1,261
0.1,262
1,263
0.5,264
1.2,265
4,266
1.6,267
0.4,268
3.8,269
0.7,270
3.8,271
"2.2727273			",272
"4			",273
"2			",274
"2			",275
"2			",276
"2			",277
"2			",278
"0			",279
"0.5			",280
"1			",281
"1.4			",282
"2.3333333			",283
"2.25			",284
"1.6153846			",285
"2.074074			",286
"1.9411764			",287
"2.5			",288
"2.3846154			",289
"2			",290
"2.2			",291
"2.107143			",292
"1.7777778			",293
"1.375			",294
"2.0666666			",295
"2.6666667			",296
1.5,297
0,298
1.1,299
3,300
0.4,301
0.8,302
2.8,303
"0.625			",304
"1.25			",305
"2.4			",306
"2.2			",307
"2			",308
"1.7692307			",309
"2.25			",310
"2.3333333			",311
"1.3636364			",312
"3.25			",313
"1.3333334			",314
"2.1052632			",315
"2.1333334			",316
"2.1666667			",317
"2.6666667			",318
"2			",319
"1.75			",320
"3			",321
"0			",322
"2			",323
"2			",324
"4			",325
"2			",326
"0			",327
"0.85714287			",328
"1.7142857			",329
"1.5			",330
"1.7777778			",331
"1.6666666			",332
"1.7058823			",333
"2.2222223			",334
"1.8571428			",335
"2.8333333			",336
"2			",337
"1.4545455			",338
"2.409091			",339
"2.2439024			",340
"2.0512822			",341
"3.2857144			",342
"2.5714285			",343
"2			",344
"1.8			",345
"2.9			",346
"4			",347
"2.5			",348
"1			",349
"4			",350
"0			",351
"0.7			",352
"1.4			",353
"3			",354
"2.5714285			",355
"2.5			",356
"2.1875			",357
"1.2941177			",358
"2.3333333			",359
"2.5454545			",360
"2.6666667			",361
"1.625			",362
"2.909091			",363
"1.6111112			",364
"1.5714285			",365
"3.5			",366
"1.5			",367
"2.4			",368
"3			",369
"3			",370
"1.5			",371
"1.5			",372
"1.5			",373
"0			",374
"0			",375
"1.2			",376
"2.4			",377
"3			",378
"2			",379
"1.6			",380
"2.5217392			",381
"2.627907			",382
"3			",383
"2.7368422			",384
"1.9090909			",385
"2.235294			",386
"2.3846154			",387
"2.4583333			",388
"1.95			",389
"3			",390
"2.1818182			",391
"1.75			",392
"3.6			",393
"2			",394
"3.2			",395
"2.3333333			",396
"2.6666665			",397
"3			",398
"3			",399
"3			",400
"2			",401
"1			",402
"2.1666667			",403
"2.625			",404
"1.6666666			",405
"1.8181819			",406
"2.3809524			",407
"2.375			",408
"2.6666667			",409
"2.5555556			",410
"2.75			",411
"2.2631578			",412
"1.4			",413
"2			",414
"4			",415
"3.5			",416
"2.25			",417
"1			",418
"2			",419
"3			",420
"1.5			",421
"0			",422
"0			",423
"0			",424
"1			",425
"4			",426
"2			",427
"2			",428
"2.1			",429
"2.4375			",430
"2.5625			",431
"2.4			",432
"2.4444444			",433
"2.4444444			",434
1.9,435
1.4,436
1.9,437
2.8,438
0.5,439
0.6,440
1.9,441
1.6,442
3.4,443
3,444
2.7,445
1.4,446
3,447
2.1,448
2.7,449
0.7,450
3.2,451
2.4,452
3.3,453
0.8,454
2.5,455
3.5,456
4,457
0.2,458
1,459
1.8,460
0.3,461
3.4,462
2.4,463
2.6,464
3.4,465
2,466
2,467
1.3,468
0.6,469
3.4,470
3,471
1.9,472
3.4,473
0.2,474
1,475
1.6,476
3,477
1.1,478
3.4,479
1,480
3.7,481
3.1,482
3.2,483
1.2,484
3.1,485
1.2,486
0.6,487
0.4,488
3.6,489
1.8,490
3.8,491
1.7,492
2.7,493
2.8,494
1.6,495
1.5,496
1.6,497
3.6,498
3.5,499
1.9,500
2.8,501
3.9,502
0.7,503
3.9,504
2,505
3.9,506
2.1,507
0,508
2.9,509
0,510
"1.25			",511
"2			",512
"3			",513
"2			",514
"3			",515
"4			",516
"3.25			",517
"3.25			",518
"2.5			",519
"2.25			",520
"2.25			",521
"2			",522
"2.2857144			",523
"2.3333333			",524
"4			",525
"2.6			",526
"2.1333334			",527
"2.3846154			",528
"2			",529
"2.1666667			",530
"2			",531
"2.4210527			",532
"2.516129			",533
"2.0714285			",534
"1			",535
"2.5714285			",536
"2.5			",537
"1.25			",538
"0			",539
"1.25			",540
"2.5			",541
"4			",542
"3.5			",543
"2.25			",544
"2.25			",545
"1			",546
"2.8			",547
"2.2			",548
"2.875			",549
"2.8			",550
"2.3076923			",551
"2.142857			",552
"2.1			",553
"2.9166667			",554
"2.75			",555
"3.1			",556
"2.0666666			",557
"2.34375			",558
"2.4444444			",559
"2.6			",560
"2.2857144			",561
"2.25			",562
"0.5			",563
"0.5			",564
"0.5			",565
"2.25			",566
"4			",567
"4			",568
"3.25			",569
"3.25			",570
"2.5			",571
"1.6			",572
"1.75			",573
"2			",574
"3.25			",575
"2.6875			",576
"1.84			",577
"1.7857143			",578
"1.7777778			",579
"2.2857144			",580
"2.4285715			",581
"2.34375			",582
"1.6666666			",583
"2.8333333			",584
"2.2			",585
"3.2727273			",586
"3.25			",587
"2.8333333			",588
"4			",589
"2			",590
"1			",591
"1			",592
"0			",593
"1			",594
"1			",595
"1			",596
"2			",597
"2.6153846			",598
"2.7272727			",599
"2.7857144			",600
"2.25			",601
"1.9615384			",602
"1.625			",603
"1.75			",604
"2.375			",605
"1.7692307			",606
"2			",607
"2			",608
"1			",609
"1.625			",610
3.8,611
3.3,612
2.1,613
1.9,614
2.1,615
0.4,616
"2			",617
"1.5			",618
"1			",619
"2			",620
"1.4285715			",621
"0			",622
"2			",623
"1.6428572			",624
"1.9230769			",625
"1.4			",626
"2.1111112			",627
"1.7777778			",628
"1.9166666			",629
"2.35			",630
"2.7727273			",631
"1.25			",632
"3.5			",633
"1			",634
"0			",635
4,636
1.2,637
0.2,638
1.4,639
2.4,640
2.9,641
1.3,642
"2			",643
"2			",644
"2.125			",645
"0.75			",646
"1.7857143			",647
"2.764706			",648
"2.2142856			",649
"2.75			",650
"1.5454545			",651
"2.3333333			",652
"2.2307692			",653
"2.2142856			",654
"2.4615386			",655
"2.3			",656
"2.75			",657
"2			",658
"2			",659
"3			",660
"0.5			",661
"0.5			",662
"1.25			",663
"1.25			",664
"1.25			",665
"1.25			",666
"2			",667
"4			",668
"2			",669
"3.25			",670
"2.1538463			",671
"2.1052632			",672
"2.5454545			",673
"2.2222223			",674
"2.1666667			",675
"2.1052632			",676
"2.347826			",677
"2			",678
"2.1875			",679
"1.5			",680
"1.5			",681
"0.875			",682
"0			",683
1.8,684
0.2,685
2.7,686
1.9,687
3,688
0,689
0.4,690
"2.8			",691
"1.6666666			",692
"2.6			",693
"1.4444444			",694
"1.5384616			",695
"2			",696
"1.5333333			",697
"1.4444444			",698
"1.6666666			",699
"1.8571428			",700
"2.142857			",701
"1.9523809			",702
"2.4615386			",703
"1.5			",704
"3.4615386			",705
